Animal ID,Animal Name,Animal Type,Sex,Years Old,Months Old,Primary Breed,Primary Color,Tag Number,Intake Date,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Outcome Date,Intake Day of the Week,Outcome Day of the Week
A000218,Fatty,Cat,Neutered Male,0,3.0,Domestic Longhair,Gray,052355562,12/13/2020,Owner Surrendered,Over the Counter,Adoption,,12/18/2020,Sunday,Friday
A001474,Charles,Dog,Neutered Male,1,0.0,Labrador Retriever,Yellow,982000150016071,10/19/2021,Stray,Over the Counter,Return to Owner,Walk-In,10/19/2021,Tuesday,Tuesday
A002332,Chloe,Dog,Spayed Female,0,0.0,Miniature Poodle,Black,,10/23/2021,Disposal Request of Deceased Pet,Over the Counter,Disposal of Deceased Pet,,10/23/2021,Saturday,Saturday
A008004,Abby,Cat,Spayed Female,1,0.5,Domestic Shorthair,Black,073516875,11/08/2022,Owner Surrendered,Over the Counter,Euthanized,Age-Related,11/08/2022,Tuesday,Tuesday
A009005,Candy,Dog,Spayed Female,3,0.0,Cairn Terrier,Brown,074533311,08/14/2023,Owner Surrendered,Over the Counter,Adoption,Walk-In,08/30/2023,Monday,Wednesday
A015064,Mandy,Cat,Spayed Female,1,0.0,Domestic Shorthair,Brown Tabby,004067623,06/09/2022,Stray,Animal Control,Adoption,Walk-In,07/01/2022,Thursday,Friday
A019030,Tolby,Dog,Neutered Male,0,9.0,Chihuahua Long Hair,Brown,981020009272399,11/10/2023,Confiscated,Animal Cruelty,Return to Owner,Walk-In,11/14/2023,Friday,Tuesday
A021890,Hanna,Cat,Spayed Female,0,10.0,Domestic Medium Hair,Gray,981020009897561,08/15/2021,Stray,Animal Control,Transfer,Private Animal Shelter,08/31/2021,Sunday,Tuesday
A022906,Chocolate,Dog,Male,7,,Dachshund,Black,,03/16/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,03/16/2021,Tuesday,Tuesday
A022910,Chop,Dog,Neutered Male,0,1.5,Pit Bull,White,981020011152501,05/02/2023,Stray,Animal Control,Transfer,Rescue Group,05/13/2023,Tuesday,Saturday
A023387,Toby,Dog,Neutered Male,2,6.0,Beagle,Tricolor,981020011097475,11/20/2021,Stray,Over the Counter,Return to Owner,Walk-In,11/20/2021,Saturday,Saturday
A023595,Colby Jack,Cat,Neutered Male,0,18.0,Domestic Longhair,Orange Tabby,981020011153820,11/20/2022,Disposal Request of Deceased Pet,Over the Counter,Disposal of Deceased Pet,,11/20/2022,Sunday,Sunday
A024783,Dougie Fresh,Cat,Neutered Male,2,0.0,Domestic Shorthair,Gray Tabby,981020011428160,11/30/2022,Owner Surrendered,OTC APPT,Transfer,Private Animal Shelter,02/19/2023,Wednesday,Sunday
A025744,Echo,Cat,Neutered Male,0,0.0,Domestic Shorthair,Brown Tabby,981020011900024,07/28/2021,Stray,Over the Counter,Return to Owner,Microchip,08/01/2021,Wednesday,Sunday
A028659,Lucky,Dog,Neutered Male,2,0.0,Australian Cattle dog,Tan,985112000939965,07/19/2022,Stray,Over the Counter,Return to Owner,Walk-In,07/19/2022,Tuesday,Tuesday
A028659,Lucky,Dog,Neutered Male,2,0.0,Australian Cattle dog,Tan,985112000939965,10/12/2021,Owner Surrendered,Over the Counter,Adoption,Walk-In,10/20/2021,Tuesday,Wednesday
A029169,Knalah,Dog,Spayed Female,2,0.0,Pit Bull,Tan,,10/30/2023,Stray,Over the Counter,Return to Owner,Walk-In,10/30/2023,Monday,Monday
A032359,Charlie,Dog,Neutered Male,5,0.0,Shih Tzu,Tricolor,981020015431304,05/22/2022,Owner Surrendered,OTC APPT,Transfer,Rescue Group,05/23/2022,Sunday,Monday
A033261,Seraphina,Cat,Spayed Female,0,6.0,Domestic Shorthair,Orange Tabby,981020015873564,09/17/2022,Stray,Over the Counter,Return to Owner,Outside of Shelter,09/17/2022,Saturday,Saturday
A033451,Tigger,Dog,Neutered Male,4,0.0,Pit Bull,Red,981020019594636,09/18/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,09/18/2022,Sunday,Sunday
A033568,Sage,Dog,Spayed Female,0,7.0,Mastiff,Blue Brindle,981020015589983,08/25/2021,Owner Surrendered,OTC APPT,Transfer,Private Animal Shelter,09/25/2021,Wednesday,Saturday
A034062,Peirstin,Dog,Neutered Male,13,,Cocker Spaniel,Tan,981020039162714,05/23/2021,Owner Surrendered,OTC APPT,Adoption,Walk-In,05/23/2021,Sunday,Sunday
A034301,Chevelle,Dog,Spayed Female,2,6.0,Pit Bull,Gray,981020021539392,06/21/2021,Stray,Over the Counter,Return to Owner,,06/21/2021,Monday,Monday
A034621,Lucy Bryant,Dog,Spayed Female,7,6.0,Beagle,Tricolor,,12/28/2020,Disposal Request of Deceased Pet,Over the Counter,Disposal of Deceased Pet,,12/28/2020,Monday,Monday
A034892,Chief,Dog,Neutered Male,1,6.0,German Shepard,Black,981020013225818,07/03/2023,Stray,Over the Counter,Return to Owner,Walk-In,07/03/2023,Monday,Monday
A034892,Chief,Dog,Neutered Male,1,6.0,German Shepard,Black,981020013225818,05/16/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,05/16/2022,Monday,Monday
A035019,Kyng Keno,Dog,Neutered Male,5,0.0,Miniature Poodle,White,981020017541396,07/07/2021,Stray,Over the Counter,Return to Owner,,07/08/2021,Wednesday,Thursday
A035230,Paddington,Cat,Neutered Male,0,1.0,Domestic Shorthair,Orange Tabby,981020017528808,07/13/2021,Foster,Over the Counter,Adoption,Walk-In,07/13/2021,Tuesday,Tuesday
A035230,Paddington,Cat,Neutered Male,0,1.0,Domestic Shorthair,Orange Tabby,981020017528808,07/02/2021,Stray,Over the Counter,Foster,FINDER,07/02/2021,Friday,Friday
A035314,Bolt,Dog,Neutered Male,3,0.0,Miniature Poodle,Black,010604,11/24/2020,Foster,Over the Counter,Adoption,Walk-In,11/24/2020,Tuesday,Tuesday
A038698,Crescent,Cat,Spayed Female,1,0.0,Domestic Shorthair,Torbie,981020019486179,11/14/2021,Stray,Over the Counter,Adoption,Walk-In,11/27/2021,Sunday,Saturday
A039072,Blossom,Dog,Spayed Female,0,10.0,Treeing Walker Coonhound,Tan,981020019558268,06/05/2021,Return,Over the Counter,Foster,M/L DOG,06/09/2021,Saturday,Wednesday
A039072,Blossom,Dog,Spayed Female,0,10.0,Treeing Walker Coonhound,Tan,981020019558268,04/21/2021,Confiscated,Nuisance,Return to Owner,,04/28/2021,Wednesday,Wednesday
A039072,Blossom,Dog,Spayed Female,0,10.0,Treeing Walker Coonhound,Tan,981020019558268,04/28/2021,Owner Surrendered,Over the Counter,Adoption,Walk-In,05/09/2021,Wednesday,Sunday
A039072,Blossom,Dog,Spayed Female,0,10.0,Treeing Walker Coonhound,Tan,981020019558268,07/01/2021,Foster,Over the Counter,Foster,M/L DOG,07/06/2021,Thursday,Tuesday
A039072,Blossom,Dog,Spayed Female,0,10.0,Treeing Walker Coonhound,Tan,981020019558268,05/15/2021,Return,Over the Counter,Adoption,Walk-In,06/04/2021,Saturday,Friday
A039072,Blossom,Dog,Spayed Female,0,10.0,Treeing Walker Coonhound,Tan,981020019558268,07/24/2021,Foster,Over the Counter,Adoption,,07/24/2021,Saturday,Saturday
A039315,Coco,Dog,Spayed Female,0,9.0,Beagle,Black,981020019562303,07/05/2023,Stray,Over the Counter,Return to Owner,Walk-In,07/06/2023,Wednesday,Thursday
A042384,Houdini,Dog,Neutered Male,2,,Yorkshire Terrier,Silver,0A01767836,12/19/2022,Owner Surrendered,Over the Counter,Foster,Adoption,12/22/2022,Monday,Thursday
A042384,Houdini,Dog,Neutered Male,2,,Yorkshire Terrier,Silver,0A01767836,12/28/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,12/28/2022,Wednesday,Wednesday
A042384,Houdini,Dog,Neutered Male,2,,Yorkshire Terrier,Silver,0A01767836,12/31/2022,Stray,Animal Control,Foster,Adoption,12/31/2022,Saturday,Saturday
A042384,Houdini,Dog,Neutered Male,2,,Yorkshire Terrier,Silver,0A01767836,01/09/2023,Foster,Over the Counter,Foster,Adoption,01/10/2023,Monday,Tuesday
A042384,Houdini,Dog,Neutered Male,2,,Yorkshire Terrier,Silver,0A01767836,01/28/2023,Foster,Over the Counter,Transfer,Rescue Group,02/02/2023,Saturday,Thursday
A042528,Princess,Dog,Spayed Female,8,,Yorkshire Terrier,Cream,981020023173986,08/20/2021,Stray,Over the Counter,Foster,Adoption,09/05/2021,Friday,Sunday
A042528,Princess,Dog,Spayed Female,8,,Yorkshire Terrier,Cream,981020023173986,09/05/2021,Foster,Over the Counter,Adoption,,09/05/2021,Sunday,Sunday
A043103,Marilyn,Dog,Spayed Female,,6.0,Pit Bull,Fawn,981020023253248,08/09/2023,Stray,Animal Control,Return to Owner,Outside of Shelter,08/09/2023,Wednesday,Wednesday
A043147,Ena,Cat,Spayed Female,,,Domestic Shorthair,Black Tabby,981020023257617,01/17/2021,Owner Surrendered,OTC APPT,Adoption,Walk-In,01/20/2021,Sunday,Wednesday
A043147,Ena,Cat,Spayed Female,,,Domestic Shorthair,Black Tabby,981020023257617,01/22/2021,Stray,Over the Counter,Adoption,,02/04/2021,Friday,Thursday
A043588,Presley,Dog,Neutered Male,19,,Treeing Walker Coonhound,Tricolor,,03/01/2023,Owner Surrendered,Over the Counter,Euthanized,Age-Related,03/01/2023,Wednesday,Wednesday
A043886,Kovu,Cat,Neutered Male,,1.8,Domestic Shorthair,Brown Tabby,981020021788827,12/29/2020,Owner Surrendered,Over the Counter,Adoption,Walk-In,01/07/2021,Tuesday,Thursday
A043999,Ace,Cat,Neutered Male,,4.0,Domestic Shorthair,Brown Tabby,981020021545862,01/17/2021,Owner Surrendered,OTC APPT,Adoption,Walk-In,01/20/2021,Sunday,Wednesday
A043999,Ace,Cat,Neutered Male,,4.0,Domestic Shorthair,Brown Tabby,981020021545862,01/22/2021,Stray,Over the Counter,Adoption,Walk-In,02/04/2021,Friday,Thursday
A044865,Jr,Dog,Neutered Male,10,,Pit Bull,Tan,981020021534846,08/20/2023,Stray,Animal Control,Return to Owner,Walk-In,08/29/2023,Sunday,Tuesday
A044974,Ramona,Cat,Spayed Female,,1.0,Domestic Shorthair,Brown Tabby,981020023192102,03/28/2022,Owner Surrendered,Over the Counter,Adoption,Walk-In,04/16/2022,Monday,Saturday
A044976,Bogey,Cat,Neutered Male,,1.0,Domestic Shorthair,Brown Tabby,981020021822411,03/28/2022,Owner Surrendered,Over the Counter,Adoption,Walk-In,04/16/2022,Monday,Saturday
